id,content,label1,category1,target1,label2,category2,target2,label3,category3,target3,true_label,true_category,true_target,pred_label,pred_category,pred_target
21,一个肩上站着鹦鹉的中国人走进酒吧，酒保看了看说：“很不错啊，在哪里买的?”“缅甸。”鹦鹉回答说。,4,GS,IG,3,GS,IG,4,GS,IG,4,GS,IG,1.0,NR,GF
22,一个泰国人一个中国人，那泰国人肯定是司机；一个泰国人十个中国人，那泰国人肯定是导游；一个泰国人五十个中国人，那泰国人肯定是园区中介；一个泰国人一百个中国人，那泰国人肯定是军阀。,3,GS,IG,3,GS,IG,4,GS,IG,3,GS,IG,3.0,GS,IG
23,一个黑人说，自己这辈子遇到过最种族歧视的事，就是上学时候的郊游，老师居然安排他们去棉花田里摘棉花。一个中国人说，自己这辈子遇到过最种族歧视的事，就是上班时候的团建，老板居然安排他们去新加坡旅游，中途转机缅甸。,3,GS,GG,3,GS,IG,4,GS,IG,3,GS,IG,4.0,GS,IG
24,妙瓦底和泰国之间隔着一条界河，一名中国人趁着夜色偷偷跑出了园区，却因不会游泳在界河里面溺水，当他快要被淹死的时候，突然发现自己已经来到了陆地上。这时河神显灵了：不要再送来中国人了，这里已经是饱和溶液了。,3,VO,IG,3,GS,IG,3,GS,IG,3,GS,IG,3.0,GS,IG
25,心医林霖在网上大骂：中国人去泰国旅游不安全！结果被判22年监禁。2年是因为破坏中泰友谊。20年是因为泄露国家机密。,3,GS,GG,4,GS,GG,4,GS,GG,4,GS,GG,3.0,GS,IG
26,集装箱内，两个偷渡的中国人正在聊天。一个说：“好期待啊，不知道我们在东南亚的新工作能赚多少钱？”另一个说：“别担心，我那天偷听到司机聊天了，咱们的待遇可好了。”“有多好？”“首登就送100连抽。”,3,VO,IG,3,GS,IG,3,GS,IG,3,GS,IG,3.0,GS,IG
27,一个中国人被卖到缅甸园区，因为没完成业绩被高管把腿打瘸了。第二天，这个中国人又没完成业绩，高管把他在水牢里关了一周。一周后，高管打开水牢，叹了口气：“那个中国人走了。”另一名高管惊道：“什么？他的腿好了？”,4,VO,IG,4,GS,IG,4,GS,IG,4,GS,IG,4.0,VO,IG
28,午时三刻，午门外，监斩官丢出令牌，刽子手举刀正要行刑。忽闻待斩囚犯仰天大笑：哈哈哈……刽子手停下动作，监斩官问道：尔等为何发笑？片刻后，犯人答到：郎中果然没说错，每天笑一笑，可延长寿命3秒。,1,NR,GG,2,NR,IG,2,NR,IG,2,NR,IG,1.0,NR,GF
29,路易十六去刑场时，该听到的最后一句话是什么呢？“前方100米掉头,4,DD,IS,4,DD,IS,4,DD,IS,4,DD,IS,2.0,DD,IS
30,说起日本动漫的发达，有人问：为什么日本动漫这么受欢迎？笑话的答案是因为他们1945年就“二次原国家”了。,4,DD,GF,4,DD,IG,4,DD,IG,4,DD,IG,4.0,DT,IG
31,非洲的龙卷风叫什么名字“扫黑风暴”,2,GS,IG,3,GS,IG,3,GS,IG,3,GS,IG,3.0,GS,IG
32,张作霖坐火车时，打了三个字。 答案是“帅炸了”,4,DD,IS,4,DD,IS,3,DD,IS,4,DD,IS,3.0,DD,IS
33,如果你想念科比了，就抬头看看白云，那是上帝让科比种的棉花,4,DD,IS,4,DD,IS,4,DD,IS,4,DD,IS,4.0,DD,IS
34,如果天空上没有白云，科密就偷着乐吧，科比今天放假,4,DD,IS,4,DD,IS,4,DD,IS,4,DD,IS,2.0,NR,GF
35,路易十六在哪里最安全？ 高速公路，因为高速公路不允许掉头,4,DD,IS,4,DD,IS,4,DD,IS,4,DD,IS,2.0,DD,IS
36,开路易十六玩笑的真是太过分了开玩笑最起码也要有个头。,4,DD,IS,4,DD,IS,4,DD,IS,4,DD,IS,3.0,DD,IS
37,你什么时候意识到自己长大了？神父他突然就对我不感兴趣了,4,GS,IG,4,GS,IG,4,GS,IG,4,GS,IG,4.0,VO,IG
38,神父：可恶的恶魔，快从这个小男孩身体里出去！恶魔：你先出去,4,GS,IG,4,GS,IG,4,GS,IG,4,GS,IG,2.0,GS,IG
39,“如果卖火柴的是小男孩而不是小女孩的话，还会冻死吗？”“不会，因为神父会保佑他的”,4,VO,IG,3,GS,IG,3,GS,IG,3,GS,IG,4.0,DD,IG
40,犹太人向蒙古人请教如何屠城蒙古人拿来一个车轮说：比轮子高的死，比轮子矮的活犹太人：学会了第二天蒙古人去现场看时大惊失色道：你们在干什么？！快把轮子立起来！,4,DT,IG,4,DT,IG,4,DT,IG,4,DT,IG,4.0,GS,IG
41,男孩说神父有号角。修女却说神父有钥匙,3,VO,IG,4,GS,IG,4,GS,IG,4,GS,IG,3.0,GS,IG
42,当美国宣布将小男孩投掷到日本后，各地的神父们纷纷前往自家地下室查看有没有少人。,4,DT,GG,4,GS,IG,4,GS,IG,4,GS,IG,4.0,DT,IG
43,神父为什么喜欢日本？因为小男孩会从天而降。,4,DT,GG,4,DT,IG,4,DT,IG,4,DT,IG,4.0,VO,IG
44,神父为什么讨厌日本？因为小男孩爆炸了。,4,DT,GG,4,DT,IG,4,DT,IG,4,DT,IG,4.0,DT,IG
45,在拥挤的十字路口，一名12岁的小男孩被车撞倒了。一位目击了全程的女性奔向躺在血泊里的男孩。她轻轻地把男孩的头揽进怀里，呢喃道：“你需要神父么？”男孩呻吟道：“我都这样了，你脑子里就只有色情吗？”,4,GS,IG,4,GS,IG,4,GS,IG,4,GS,IG,2.0,DT,IS
46,有人说认为，在教堂顶上装避雷针的行为，是信仰缺失的一大体现。但事实上只是因为教皇卧室里的小男孩怕打雷。,4,GS,IG,4,GS,IG,4,GS,IG,4,GS,IG,4.0,VO,IG
47,一位神父因心脏病发作被送到医院。 当他醒来时，两名护士正推着他的可移动病床在医院里走着。“我这是到了天堂吗？”一脸茫然的神父问。“不。”护士答道，“我们只是在穿过儿童病区。”,4,GS,IG,4,GS,IG,4,GS,IG,4,GS,IG,1.0,NR,IG
48,你老公心梗的时候，你为啥用手机打开了京东？我等120的时候想打开知乎搜索下怎么救他，但是我的手一直在抖。,2,VO,IS,2,NR,GG,2,NR,GG,2,NR,GG,2.0,DT,IS
49,谁第一个达成了天下三分？关羽。他身在东吴，头在曹魏，心在汉。,4,DD,IS,3,DD,IS,3,DD,IS,3,DD,IS,2.0,DD,IS
50,薛定谔的猫死于开盒,1,NR,GF,2,NR,GF,2,NR,GF,2,NR,GF,1.0,NR,GF
51,孔子和耶稣谁更厉害？耶稣，因为他手上就有俩孔子,3,DD,IS,3,DD,IS,3,DD,IS,3,DD,IS,3.0,GS,IG
52,耶稣和墙上的耶稣照片有什么区别，墙上的照片只需要一颗钉子,4,DD,IS,4,DD,IS,4,DD,IS,4,DD,IS,4.0,DD,IG
53,路易十六，商鞅，霍金，耶稣被称为地狱笑话三巨头,4,DD,IS,4,DD,IS,4,DD,IS,4,DD,IS,4.0,DD,IS
54,一个犹太人和一个意大利人吹牛。意大利人:罗马文明历史悠久，你猜考古人员在罗马城地面下废墟里发现了什么？他们发现了一段电话线，这说明两千多年前我们祖先就开始用电话了。犹太人:你猜在耶路撒冷的遗址里我们挖到了什么？我们什么都没挖到。意大利人:那说明什么？犹太人:说明我们祖先在两千多年前就开始用无线电了,2,NR,IG,2,NR,IG,2,NR,IG,2,NR,IG,3.0,GS,IG
55,在柏林，人们传递着一个笑话：“世界历史上最伟大的三位化学家是谁？答案：耶稣，他把水变成美酒；戈林，他把黄油变成大炮；还有希姆莱，他把犹太人变成肥皂。”15岁的孩子们踢完足球去洗澡时嘻哈闹腾，开玩笑问在绿色的肥皂水里会有多少犹太人。还有人把战时肥皂块上刻的“帝国工业油脂办公室”,3,DT,IG,3,GS,IG,3,GS,IG,3,GS,IG,4.0,DT,IG
56,德国战败后，开始赔偿各受害者 波兰人要土地，所以就割走了一些德国的土地； 美国人要技术，所以就接走了德国许多科学家； 苏联人要工业，所以就搬走了德国机器和工人； 唯独犹太人拿走了《我的奋斗》,4,DT,IG,4,DT,IG,4,DT,IG,4,DT,IG,4.0,DT,IG
57,种族歧视用文言文怎么说：以色列人,3,GS,IG,2,VO,IG,2,VO,IG,2,VO,IG,3.0,GS,IG
58,本首相菅义伟视察福岛时，东电员工向他展示了一种最新式的可以通向地狱的电话，通话费一次只要5日元。回到东京后，菅义伟再次和地狱通了一次电话。但这次通话的费用高达1000日元！ 菅义伟惊讶地说：“怎么会这样，福岛才5日元。” 人们向他解释说：“在那里是本地通话，从我们这里打是长途。”,4,DT,IG,4,DT,IG,4,DT,IG,4,DT,IG,3.0,DT,IS
59,国际原子能机构调查员在福岛海域捞起一条鱼，问日本官员:“你们可以保证这里的鱼类辐射达标吗？”“可以保证。”日本官员说。“可以保证。”鱼说。,2,DT,IG,2,DT,IG,3,DT,IG,2,DT,IG,3.0,DT,IG
60,日本环境厅长官在一名下属的陪同下到街道视察环境状况，他们走到一处街角，发现地上扔了半瓶喝剩的纯净水。长官不满的说：“这是谁扔的瓶子？！”下属看了看四周，欣喜的说：“看来谁的也不是，长官，赶快拣起来吧！”,2,DT,IG,2,DT,IG,3,DT,IG,2,DT,IG,3.0,GS,IG
61,课堂上，老师出了个问题:一个日本人正在家里吃饭，他的餐盘里可能是什么食物？A，哥斯拉汤B，尾兽羹C，干净的日本海鲜D，富含氚的日本海鲜学生:选D，因为另外3种食物并不存在。老师:要学会用发展的眼光看问题。学生:选ABD。,2,DT,GF,2,DT,IG,2,DT,IG,2,DT,IG,3.0,GS,IG
62,日本产业省规定:所有在日本市场出售的辐射检测仪必须调低报警音量，否则将损伤使用者的听力。,2,DT,IG,2,DT,IG,2,DT,IG,2,DT,IG,3.0,DT,IG
63,餐桌前，美丽的小女孩将红色的电线在额前梳了个刘海，她喝了一口海水问:“妈妈，辐射水这么好喝，为什么曾被白白排进海里呢？”“傻钴娘，因为那时还不是我们硅基生命啊。,3,DT,IG,3,DT,IG,3,DT,IG,3,DT,IG,2.0,DT,IG
64,国际电竞大赛上，日本选手技术一流，微操入神，力压中韩，连续五年夺冠。中国选手回国后被指责技艺不精，选手们委屈地哭诉起来:“我们拼操作怎么可能拼得过日本选手，他们每个人都有61根手指啊！,2,DT,IG,3,DT,IG,3,DT,IG,3,DT,IG,3.0,GS,IG
65,当代世界级数学难题之一:日本的鸡兔同笼。,3,DT,GF,2,DT,IG,2,DT,IG,2,DT,IG,1.0,NR,GF
66,首相视察废水处理厂，他问科研人员：“核废水再利用计划进展如何？”科研人员答道：“已经取得了很大进展，三步计划已经完成了两步。”“哦？具体说说。”“我们已经取得了足够的原料，并且把他们装进了矿泉水瓶。现在只差最后一步：让日本民众心甘情愿地喝下去”,3,DT,GG,3,DT,IG,3,DT,IG,3,DT,IG,3.0,DT,IG
67,在昨天的亚洲杯小组赛上，对日本球员手球作出的点球处罚，在日韩两队间引发激烈争议。针对触手是否算手这一问题，国际足联表示正在紧急研究。,2,DT,IG,2,DT,IG,2,DT,IG,2,DT,IG,3.0,GS,IG
68,东电老板把脏衣服送去洗衣店:“请把衣服清洁好。”翌日，店员把衣服送回:“先生，已经清洁干净了。”东电老板指着衣服上的污渍，大怒:“这衣服根本就没做清洁，你这个骗子！”店员:“你们东电不也宣称把核废水处理干净了吗？”,2,DT,IG,2,DT,IG,2,DT,IG,2,DT,IG,3.0,DT,IG
69,请为我岳母祈祷吧：有一只蜜蜂飞到了她脸上，她现在被送去了医院。万幸蜜蜂没有蛰到她——我那一铲子是真的快,1,NR,GG,1,NR,GG,1,NR,GG,1,NR,GG,3.0,IS,IS
70,一早起来就听见鸟儿们在欢快地歌唱。讲道理要是我TM不用工作我也唱啊。,1,NR,GG,1,NR,GG,1,NR,GG,1,NR,GG,1.0,NR,GG
71,英国死囚犯在死前的最后一顿饭最常选择的餐点是炸鸡。说实话，不是让人很意外,2,GS,GG,3,VO,GG,3,VO,GG,3,VO,GG,2.0,DD,IG
72,有一个程序员晚上睡觉的时候总是会在床头柜上摆两个杯子，其中一个装满了水，另一个没有装水。妻子很奇怪，就问他：“为什么你要在床头摆两个杯子呢？”“这样假如我晚上起来感到口渴，就可以喝水了”“那为什么还要摆一个空杯子？”“万一我不渴呢？”,3,GS,GG,2,GS,GG,2,GS,GG,2,GS,GG,1.0,NR,IS
73,程序猿最烦两件事，第一件事是别人要他给自己的代码写文档，第二件呢？是别人的程序没有留下文档。,1,GS,GG,1,GS,GG,1,GS,GG,1,GS,GG,3.0,GS,IG
74,程序猿的读书历程：x语言入门—>x语言应用实践—>x语言高阶编程—>x语言的科学与艺术—>编程之美—>编程之道—>编程之禅—>颈椎病康复指南。,1,GS,GG,1,GS,GG,1,GS,GG,1,GS,GG,3.0,GS,IG
75,还没上大学的时候，高三暑假，跑到家那边的图书城想买传说中的C++的书，然后看到一本C#，我一看，嘿，这个++还写得挺艺术的，重叠起来了，于是把C#买了回来……,1,GS,GG,1,GS,GG,1,GS,GG,1,GS,GG,1.0,NR,IS
76,问：程序猿最讨厌康熙的哪个儿子？答：胤禩，因为他是八阿哥(bug)。,1,GS,GG,1,GS,GG,1,GS,GG,1,GS,GG,3.0,GS,IG
77,程序猿要了3个孩子，分别取名叫Ctrl、Alt和Delete，如果他们不听话，程序猿就只要同时敲他们一下就会好的。,1,GS,GG,1,GS,GG,1,GS,GG,1,GS,GG,3.0,GS,IG
78,一个孩子问爸爸：“这里是切尔诺贝利吗？“爸爸摸了摸孩子的头，说：“是呀。”孩子又问：“那这里之前是发生过核爆炸事故吗？”爸爸摸了摸孩子的第二个头，说：“对呀，懂的真多”,4,DT,GG,4,DT,GG,4,DT,GG,4,DT,GG,4.0,DT,IG
79,上帝应该是个黑人，因为大家叫他父亲，可是从来没有人见过他,3,GS,IS,3,GS,IS,3,GS,IS,3,GS,IS,3.0,GS,IG
80,知道为什么洗洁精在以色列销量不好吗？答：因为洗洁精是去油的。,3,DT,IG,3,DT,IG,3,DT,IG,3,DT,IG,3.0,GS,IG
81,问：日本有什么震惊世界的艺术？答：东京曾有过世界最大规模的烟火秀和烤肉节问：日本广岛的代表性艺术是？答：皮影戏,4,DT,IG,4,DT,IG,4,DT,IG,4,DT,IG,4.0,DT,IG
82,你猜美国人为什么不能玩王者荣耀？因为他们开局少两座塔,4,DT,IG,4,DT,IG,3,DT,IG,4,DT,IG,3.0,GS,IG
83,一个女的容易克夫，请问她老公应该怎么办？答：穿耐克。,2,NR,GG,2,NR,GG,2,NR,GG,2,NR,GG,3.0,GS,IG
84,为什么日本动漫从天而降的总是美少女？答：因为天降小男孩不吉利。,4,DT,IG,4,DT,IG,4,DT,IG,4,DT,IG,3.0,GS,IG
85,商鞅转世之后成为了麦克阿瑟，因为人死后会变成星星，商鞅是五星上将,4,DD,IS,4,DT,IS,4,DT,IS,4,DT,IS,2.0,DD,IS
86,你们知道盲人和孤儿的共同点是什么吗? 他们都看不见自己的父母,3,VO,GG,3,VO,GG,3,VO,GG,3,VO,GG,4.0,VO,IG
87,一个人出了车祸，左半边全部瘫痪  He is all right now,3,VO,IS,2,NR,IS,2,NR,IS,2,NR,IS,2.0,VO,GG
88,耶稣从来不去别人家串门，因为他从来不带礼物,3,DD,IS,3,DD,IS,3,DD,IS,3,DD,IS,2.0,GS,IG
89,撒旦对神父说，快从那个孩子的身体里出来，神父回答到，快出来了。,4,GS,IG,3,GS,IG,3,GS,IG,3,GS,IG,4.0,VO,IG
90,都说看30秒广告可以复活，那我问你为什么奥地利看这么多年广告了还没复活？,4,DT,GG,4,DT,GG,4,DT,GG,4,DT,GG,3.0,DT,IG
91,如果人死后会变成星星，那北斗七星是谁？答:商鞅和李斯,4,DD,IS,4,DD,IS,4,DD,IS,4,DD,IS,4.0,DD,IS
92,如果人死后会变成星星，那漫天星斗呢？是伯邑考,4,DD,IS,4,DD,IS,4,DD,IS,4,DD,IS,4.0,DD,IS
93,希特勒和米开朗琪罗最大的共同点就是都用自己的脑子粉刷屋顶,4,DD,IS,4,DD,IS,3,DD,IS,4,DD,IS,3.0,DD,IS
94,5岁小孩喜欢科比很正常，毕竟是同龄人,4,DD,IS,4,DD,IS,4,DD,IS,4,DD,IS,3.0,DD,IS
95,风油精和十字架有一个共同的功能:提神,4,DD,IS,4,DD,IS,4,DT,IS,4,DD,IS,1.0,NR,GF
96,洛杉矶山火其实是为了纪念科才比把洛杉矶烧给他的,4,DD,IS,4,DD,IS,4,DD,IS,4,DD,IS,4.0,DT,IS
97,18到19世纪的时候买乔丹最便宜,4,DD,IS,4,DD,IS,3,DD,IS,4,DD,IS,1.0,NR,GF
98,商鞅的结局是:5M/s,4,DD,IS,4,DD,IS,4,DD,IS,4,DD,IS,2.0,DD,IS
99,问：如何用四个字来形容一个人心胸宽广？答：安倍晋三,4,DD,IS,4,DD,IS,4,DD,IS,4,DD,IS,4.0,DD,IS
100,为什么蜘蛛有八条腿？ 因为九足疑似有点多了,2,NR,GF,3,NR,GF,3,NR,GF,3,NR,GF,1.0,NR,GF
101,人生就像打电话，不是你先挂，就是我先挂,1,NR,GF,1,NR,GF,1,NR,GF,1,NR,GF,1.0,NR,GG
102,三角形内到三个顶点距离之和最小的点叫费马点，五边形的叫商鞅点，但是也费马,4,DD,IS,4,DD,IS,4,DD,IS,4,DD,IS,1.0,NR,GF
103,为什么天然橡胶都是白色的而轮胎是黑色的，因为黑的跑得快，跑不快的早被淘汰了,4,GS,IG,4,GS,IG,3,GS,IG,4,GS,IG,3.0,GS,IG
104,为什么比萨斜塔是斜的？因为它比双子塔反应快,4,DT,GF,4,DT,GF,4,DT,GF,4,DT,GF,4.0,DT,DD
105,比萨斜塔什么时候不是斜的？霍金看它的时候,4,DT,IS,4,DT,IS,4,DD,IS,4,DT,IS,4.0,VO,IS
106,海绵宝宝和神父的共同点是都会在开始的时候说准备好了吗孩子们,4,GS,IG,3,DT,IG,4,GS,IG,4,GS,IG,2.0,GS,IG
107,十字架能替代六神花露水，因为都能提神,3,DT,IS,4,DT,IS,4,DD,IS,4,DT,IS,2.0,NR,GF
108,一个光头出了车祸，唯一的好消息是他毫发无损,3,VO,GG,3,VO,GG,3,VO,IG,3,VO,GG,2.0,GS,IG
109,非洲的龙卷风叫扫黑风暴,2,VO,IG,2,VO,IG,3,VO,IG,2,VO,IG,3.0,GS,IG
110,如果蝙蝠侠是黑人，他在小巷子的痛苦就能减少一半了,4,DT,IG,4,DT,IG,3,VO,IG,4,DT,IG,4.0,GS,IG
111,哪吒闹海是一个来龙去脉的故事,3,NR,GF,2,NR,GF,2,NR,GF,2,NR,GF,1.0,NR,GF
112,霍金聪明是因为他学会了换个角度看问题,3,VO,IS,3,VO,IS,3,VO,IS,3,VO,IS,4.0,VO,IS
113,黑人的什么最白？答：主人,4,VO,IG,4,VO,IG,3,VO,IG,4,VO,IG,4.0,GS,IG
114,黑人跑步最常听的音乐是美国警笛声,3,GS,IG,3,GS,IG,3,GS,IG,3,GS,IG,4.0,GS,IG
115,十字架的别称是订稣机,3,DD,IS,4,DD,IS,4,DD,IS,4,DD,IS,4.0,DD,IG
116,耶稣和路易十六的区别是主和王的区别,4,DD,IS,4,DD,IS,4,DD,IS,4,DD,IS,2.0,DD,IG
117,汉尼拔的孩子抱怨自己生活在中式家庭，因为他爸总把别人家的孩子挂在嘴边,3,DD,IS,4,DD,IS,4,DD,IS,4,DD,IS,3.0,GS,IG
118,诛九族的人吃的最后一顿饭叫族光晚餐,3,DT,GG,3,DT,GG,4,DT,GG,3,DT,GG,2.0,DT,IG
119,美国农业的生产革命开始的标志是南北战争，因为农具解放了,4,DT,IG,4,DT,IG,4,DT,IG,4,DT,IG,2.0,DT,IG
120,路易十六很胖，因为他解除了顶端优势,4,DD,IS,4,DD,IS,4,DD,IS,4,DD,IS,1.0,NR,IS
121,不能让路易十六当卧底，因为他不会接头,4,DD,IS,4,DD,IS,4,DD,IS,4,DD,IS,1.0,NR,IS
122,人是铁，饭是钢，食人族看着逃跑的人恨铁不成钢,3,NR,GF,1,NR,GF,1,NR,GF,1,NR,GF,3.0,GS,IG
123,路易十六不能进入上流社会，因为都是有头有脸的人物,4,DD,IS,4,DD,IS,4,DD,IS,4,DD,IS,2.0,DD,IS
124,狼和羊一起坐地铁，狼被罚款，因为地铁上不能吃东西,1,NR,GF,2,NR,GF,1,NR,GF,1,NR,GF,1.0,NR,GF
125,路易十六吃自助不用给钱，因为自助按人头收费,4,DD,IS,4,DD,IS,4,DD,IS,4,DD,IS,2.0,DD,IS
126,路易十六好色，因为色字头上一把刀,4,DD,IS,4,DD,IS,4,DD,IS,4,DD,IS,3.0,GS,IS
127,美剧都是穿越到未来而不是过去，因为穿越到过去就变成了英剧,2,NR,GG,3,NR,GG,2,DT,IG,2,NR,GG,2.0,GS,IG
128,日本人卖鸡蛋不用盒装，因为他们对盒蛋（核弹）有阴影,4,DT,IG,4,DT,IG,4,DT,IG,4,DT,IG,3.0,DT,IG
129,法餐经常有蜗牛，因为法国人不爱吃快餐,2,NR,IG,1,NR,IG,3,NR,IG,1,NR,IG,3.0,GS,IG
130,杨过武功很厉害，因为他没有对手,3,DT,IS,3,DT,IS,4,DD,IS,3,DT,IS,1.0,NR,GF
131,日本人讨厌来中国拔牙，因为牙医会说：拔个牙咯,2,NR,IG,2,NR,IG,3,NR,IG,2,NR,IG,3.0,GS,IG
132,大西洋的黑人地位最低，因为海拔是负的,4,DT,IG,4,DT,IG,4,VO,IG,4,DT,IG,4.0,GS,IG
133,美国人不能玩moba类游戏，因为他们开局少两座塔,4,DT,IG,4,DT,IG,4,DT,IG,4,DT,IG,3.0,GS,IG
134,夏侯惇看路易十六，一眼望不到头,4,DD,IS,4,DD,IS,4,DD,IS,4,DD,IS,1.0,NR,GF
135,如果美国黑奴贸易、波士顿倾茶事件和大萧条倒牛奶事件同时发生，那么大西洋就会变成珍珠奶茶,4,DT,IG,4,DT,IG,4,DT,IG,4,DT,IG,4.0,DT,IG
136,岳飞是最厉害的运动员，因为他一天就拿了十二块金牌,4,DT,IS,4,DT,IS,4,DD,IS,4,DT,IS,2.0,DD,IS
137,孤儿的自拍叫全家福,4,VO,IG,4,VO,IG,4,VO,IG,4,VO,IG,4.0,VO,IG
138,聊到拿破仑，朋友突然调侃：“他其实是最早的‘小个子穿搭博主’，毕竟每次打仗都要踩在高台上指挥，主打一个‘视觉增高’，还顺便开创了‘战场增高穿搭’的先河。”,4,VO,IS,4,VO,IS,4,VO,IS,4,VO,IS,2.0,NR,IS
139,哪里最容易遇到熟人？ 广岛长崎,4,DT,IG,4,DT,IG,4,DT,IG,4,DT,IG,4.0,DT,IG
140,商鞅死的时候为什么不把嘴巴闭紧，这样他就扯不开了？因为商鞅的气密性不好。,4,DD,IS,4,DD,IS,4,DD,IS,4,DD,IS,4.0,DD,IS
141,商鞅创建了马克死主义，一共五个章节,4,DD,IS,4,DD,IS,4,DD,IS,4,DD,IS,2.0,GS,IG
142,世界上最卷的地方是哪里？木乃伊博物馆，因为有的是人干。,3,GS,IG,3,GS,IG,3,GS,IG,3,GS,IG,2.0,DD,IG
143,《西游记》师徒四人为什么没有女人。因为他们要去的是印度。,3,GS,IG,3,GS,IG,3,GS,IG,3,GS,IG,3.0,GS,IG
144,韩国电影很快就不用分级了，为什么？因为很快他们就没有18岁以下的人口了。,3,GS,IG,3,GS,IG,4,GS,IG,3,GS,IG,3.0,GS,IG
145,知道为什么成吉思汗的墓找不到吗？因为他们是游墓民族人。,3,NR,IS,2,NR,IS,2,NR,IS,2,NR,IS,3.0,GS,IG
146,哪里的垃圾分类做的最好。沙漠，因为沙漠里都是干尸，干湿分离。,2,NR,GF,2,NR,GF,2,NR,GF,2,NR,GF,4.0,DD,GG
147,当中国为研究出可以穿过大楼的电车而高兴时，美国早已在2001年研究出了可以穿过大楼的飞机。,4,DT,IG,4,DT,IG,4,DT,IG,4,DT,IG,3.0,GS,IG
